"LHS","RHS","support","confidence","coverage","lift","count","Perf_Mea_New"
"{MITx_3.091x_UnitedStates_Secondary}","{MITx_6.00x_UnitedStates_Secondary}",0.00151646511683336,0.210243700950021,0.00721289203900503,7.98191245109982,509,0.00254485110492968
"{MITx_6.00x_UnitedStates_Secondary}","{MITx_3.091x_UnitedStates_Secondary}",0.00151646511683336,0.057572672774573,0.0263400159094769,7.98191245109982,509,0.000696876430837548
"{HarvardX_CB22x_UnitedStates_Master's}","{HarvardX_ER22x_UnitedStates_Master's}",0.00141516882219223,0.15785975407112,0.00896472207573984,14.5925278419767,475,0.00325994448604031
"{HarvardX_ER22x_UnitedStates_Master's}","{HarvardX_CB22x_UnitedStates_Master's}",0.00141516882219223,0.130817956485817,0.0108178484071158,14.5925278419767,475,0.00270150728683429
"{MITx_8.02x_UnitedStates_Bachelor's}","{MITx_6.002x_UnitedStates_Bachelor's}",0.00139133439992373,0.216203703703704,0.0064352940124952,19.5497190044301,467,0.00588078323767723
"{MITx_6.002x_UnitedStates_Bachelor's}","{MITx_8.02x_UnitedStates_Bachelor's}",0.00139133439992373,0.125808189655172,0.0110591719325843,19.5497190044301,467,0.00342200748744149
"{MITx_14.73x_UnitedStates_Bachelor's}","{HarvardX_ER22x_UnitedStates_Bachelor's}",0.00134664485817029,0.12024474594307,0.0111991991634118,6.66777279548084,452,0.00107969223772755
"{HarvardX_ER22x_UnitedStates_Bachelor's}","{MITx_14.73x_UnitedStates_Bachelor's}",0.00134664485817029,0.0746737155129688,0.0180337197489044,6.66777279548084,452,0.000670504398086547
"{MITx_8.02x_UnitedStates_Bachelor's}","{MITx_6.00x_UnitedStates_Bachelor's}",0.0013138725275511,0.204166666666667,0.0064352940124952,4.82865963218715,441,0.00129528299394025
"{MITx_8.02x_India_Secondary}","{MITx_6.00x_India_Secondary}",0.0013138725275511,0.182080924855491,0.00721587134178859,8.91153110918939,441,0.00213191561235607
"{MITx_6.00x_India_Secondary}","{MITx_8.02x_India_Secondary}",0.0013138725275511,0.0643044619422572,0.0204320584896722,8.91153110918939,441,0.000752916245716885
"{HarvardX_CS50x_India_Secondary}","{MITx_6.002x_India_Secondary}",0.0012900381052826,0.141410842586545,0.00912262512326865,6.9270881353373,433,0.00126367665377245
"{MITx_6.002x_India_Secondary}","{HarvardX_CS50x_India_Secondary}",0.0012900381052826,0.0631932282545242,0.0204141826729709,6.9270881353373,433,0.000564707809960776
"{HarvardX_PH207x_UnitedStates_Bachelor's}","{MITx_6.00x_UnitedStates_Bachelor's}",0.00128407949971548,0.106131494705738,0.0120989486040477,2.51007117153932,431,0.000342075703678994
"{HarvardX_CS50x_UnitedStates_Master's}","{MITx_6.00x_UnitedStates_Master's}",0.0012185348384771,0.16985049833887,0.00717416110281872,11.4294606890424,409,0.0023655411869404
"{MITx_6.00x_UnitedStates_Master's}","{HarvardX_CS50x_UnitedStates_Master's}",0.0012185348384771,0.0819967923015237,0.0148607622844102,11.4294606890424,409,0.00114198540059192
"{HarvardX_ER22x_UnitedStates_Bachelor's}","{HarvardX_CS50x_UnitedStates_Bachelor's}",0.00112617645218666,0.0624483727077482,0.0180337197489044,2.8287090217251,378,0.000198937127928978
"{HarvardX_CS50x_UnitedStates_Bachelor's}","{HarvardX_ER22x_UnitedStates_Bachelor's}",0.00112617645218666,0.0510121457489879,0.0220766336261988,2.8287090217251,378,0.000162505591815668
"{HarvardX_PH278x_UnitedStates_Bachelor's}","{HarvardX_CB22x_UnitedStates_Bachelor's}",0.00112021784661953,0.112339408425456,0.00997172641658399,8.1264245902146,376,0.00102266673484987
"{HarvardX_CB22x_UnitedStates_Bachelor's}","{HarvardX_PH278x_UnitedStates_Bachelor's}",0.00112021784661953,0.0810344827586207,0.0138239649157304,8.1264245902146,376,0.000737686543435884
"{HarvardX_CB22x_UnitedStates_Bachelor's}","{HarvardX_CS50x_UnitedStates_Bachelor's}",0.00106361109373184,0.0769396551724138,0.0138239649157304,3.48511718204663,357,0.00028520062916111
